Objekt_id;Objekt;Phasen_id;Phase;Phasendefinition;BBCH_Code;Hinweis BBCH;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
         113;Hasel                                                                           ;         5;Blüte Beginn                            ;die ersten Kätzchen haben sich vollständig gestreckt und geben gelben Blütenstaub ab                                                                                                                    ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         114;Heidekraut                                                                      ;         5;Blüte Beginn                            ;an mehreren Stellen des Beobachtungsstandortes haben sich die ersten Blüten geöffnet                                                                                                                    ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         115;Herbstzeitlose                                                                  ;         5;Blüte Beginn                            ;die ersten Blüten haben sich vollständig geöffnet, so dass die Blütenblätter zwischen den entfalteten Blütenblättern sichtbar sind und Blütenstaub abgeben                                              ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         116;Huflattich                                                                      ;         5;Blüte Beginn                            ;die ersten der markanten, gelben Blütenkörbe haben sich völlig geöffnet                                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         117;Hunds-Rose                                                                      ;         5;Blüte Beginn                            ;die ersten hell rosafarbenen Blütenblätter sind vollständig entfaltet                                                                                                                                   ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         117;Hunds-Rose                                                                      ;        62;erste reife Früchte                     ;die ersten Hagebutten haben ihre endgültige scharlachrote Färbung erreicht                                                                                                                              ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         118;Kiefer                                                                          ;         8;Maitrieb                                ;an der Spitze der senkrecht stehenden Kurztriebe platzen die ersten Knospenhüllen auf und die grünen Nadelspitzen sind zu erkennen                                                                      ;            10;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         118;Kiefer                                                                          ;         5;Blüte Beginn                            ;am Grund der neuen Triebe geben die ersten etwa 1 cm langen zapfenförmigen, gelben männlichen Blüten Pollenstaub ab                                                                                     ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         119;Kornelkirsche                                                                   ;         5;Blüte Beginn                            ;die ersten Einzelblüten sind geöffnet und ihre Staubgefäße sind zu sehen                                                                                                                                ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         119;Kornelkirsche                                                                   ;        62;erste reife Früchte                     ;die ersten hängenden Früchte sind vollständig ausgefärbt                                                                                                                                                ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         120;Löwenzahn                                                                       ;         5;Blüte Beginn                            ;die ersten Blütenkörbe haben sich vollständig entfaltet                                                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         121;Robinie                                                                         ;         5;Blüte Beginn                            ;an den sich allmählich nach unten biegenden Blütentrauben öffnen sich die ersten Blüten                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         121;Robinie                                                                         ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und bis zum Stiel entfaltet                                                                                                    ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;        31;herbstliche Blattverfärbung             ;etwa die Hälfte der Blätter ist herbstlich verfärbt                                                                                                                                                     ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;         5;Blüte Beginn                            ;an einigen Blütenrispen sind die ersten Blüten geöffnet                                                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;         4;Blattentfaltung Beginn                  ;die ersten Fiederblättchen haben sich zur fingerförmigen Hand aufgerichtet                                                                                                                              ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;        62;erste reife Früchte                     ;die ersten ausgereiften, braunen, mattglänzenden Kastanien mit ihrem gelblichgrauen Nabelfleck liegen am Boden                                                                                          ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter ist abgefallen                                                                                                                                                              ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;         3;Austrieb Beginn                         ;die ersten klebrigen Knospenschuppen beginnen sich zu spreizen und das zarte Grün der Blattspitzen wird gerade sichtbar                                                                                 ;             7;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        31;herbstliche Blattverfärbung             ;das Laub des Beobachtungsbaumes hat sich etwa zur Hälfte herbstlich verfärbt                                                                                                                            ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter des Beobachtungsbaumes ist abgefallen                                                                                                                                       ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab                                                                                                                                                 ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        62;erste reife Früchte                     ;die Fruchthülle platzt auf und der Samen fällt ab                                                                                                                                                       ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und bis zum Stiel entfaltet                                                                                                    ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         124;Sal-Weide                                                                       ;         5;Blüte Beginn                            ;die ersten Blütenkätzchen haben sich soweit gestreckt, dass die geöffneten gelben Staubbeutel zu sehen sind und bei der Berührung Staub abgeben                                                         ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         125;Schlehe                                                                         ;         5;Blüte Beginn                            ;die ersten kleinen und wohlriechenden Blüten sind vollständig geöffnet und die Staubbeutel sind zu sehen                                                                                                ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         126;Schneebeere                                                                     ;         5;Blüte Beginn                            ;die untersten Blüten haben sich geöffnet                                                                                                                                                                ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         127;Schneeglöckchen                                                                 ;         5;Blüte Beginn                            ;die ersten Schneeglöckchen spreizen ihre äußeren Blütenblätter ab und innerhalb der inneren Blütenblätter sind die Staubgefäße zu sehen                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         128;Schwarz-Erle                                                                    ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich aus den gestielten Knospen herausgeschoben und völlig entfaltet                                                                                                           ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         128;Schwarz-Erle                                                                    ;         5;Blüte Beginn                            ;die blauvioletten Deckschuppen der männlichen Kätzchen sind soweit auseinandergerückt, dass bei Bewegung Blütenstaub freigegeben wird                                                                   ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
