Objekt_id;Phasen_id;Kurzbezeichnung;Jahr_Beginn;Jahr_Ende;Besonderheitenbeschreibung;Bemerkungen;eor;                                                                                                    
         234;         5;Spätkartoffel: Blühbeginn                                                                                                                                       ;       1991;      1991;ab 1991 nicht mehr im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für einzelne ostdeutsche Stationen noch Daten archiviert                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         310;         5;Apfel: Blühbeginn                                                                                                                                               ;       1991;          ;Das zugehörige Pflückreifedatum wurde in der Datenprüfung als falsch deklariert, weil der Termin nicht zur Reifegruppe "früh" oder "spät" passt oder es wird vom Beobachter eine mittlere Sorte benannt.                                                                                                                                                                                                                                                                                                            ;Die Zuordnung der Daten zu ph_objekt_id 310 erfolgt im Rahmen der Datenkorrektur (QB 2)                                                                         ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         313;         5;Apfel (spät): Blühbeginn                                                                                                                                        ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         340;         5;Sauerkirsche: Blühbeginn                                                                                                                                        ;       1984;      1991;für Ostdeutschland keine Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         370;         5;Pflaume: Blühbeginn                                                                                                                                             ;       1991;      1991;ab 1991 nicht mehr im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für einzelne ostdeutsche Stationen noch Daten archiviert                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         381;         5;Pfirsich: Blühbeginn                                                                                                                                            ;       1984;      1991;für Ostdeutschland keine Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         384;         5;Erdbeere: Blühbeginn                                                                                                                                            ;       1991;      1991;ab 1991 nicht mehr im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für einzelne ostdeutsche Stationen noch Daten archiviert                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         135;         6;Wiesen-Fuchsschwanz: Vollblüte                                                                                                                                  ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         310;         6;Apfel: Vollblüte                                                                                                                                                ;       1991;          ;Das zugehörige Pflückreifedatum wurde in der Datenprüfung als falsch deklariert, weil der Termin nicht zur Reifegruppe "früh" oder "spät" passt oder es wird vom Beobachter eine mittlere Sorte benannt.                                                                                                                                                                                                                                                                                                            ;Die Zuordnung der Daten zu ph_objekt_id 310 erfolgt im Rahmen der Datenkorrektur (QB 2)                                                                         ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         313;         6;Apfel (spät): Vollblüte                                                                                                                                         ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         320;         6;Birne: Vollblüte                                                                                                                                                ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         310;         7;Apfel: Blühende                                                                                                                                                 ;       1991;          ;Das zugehörige Pflückreifedatum wurde in der Datenprüfung als falsch deklariert, weil der Termin nicht zur Reifegruppe "früh" oder "spät" passt oder es wird vom Beobachter eine mittlere Sorte benannt.                                                                                                                                                                                                                                                                                                            ;Die Zuordnung der Daten zu ph_objekt_id 310 erfolgt im Rahmen der Datenkorrektur (QB 2)                                                                         ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         313;         7;Apfel (spät): Blühende                                                                                                                                          ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         202;        10;Winterweizen: Bestellung                                                                                                                                        ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         207;        10;Sommergerste: Bestellung                                                                                                                                        ;       1991;      2013;nicht im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für einzelne ostdeutsche Stationen 1991 noch Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         207;        10;Sommergerste: Bestellung                                                                                                                                        ;       1966;      1966;für Ostdeutschland nur einzelne Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         208;        10;Hafer: Bestellung                                                                                                                                               ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         209;        10;Sonnenblume: Bestellung                                                                                                                                         ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         209;        10;Sonnenblume: Bestellung                                                                                                                                         ;       2014;          ;nur noch im Online-Melder-Programm, daher möglicherweise größere Datenlücken                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         234;        10;Spätkartoffel: Bestellung                                                                                                                                       ;       1991;      1991;ab 1991 nicht mehr im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für einzelne ostdeutsche Stationen noch Daten archiviert                                                                                                                                                                                                                                                                                                ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         244;        11;Weißkohl: Pflanzen                                                                                                                                              ;       1991;          ;nicht mehr im Beobachtungsprogramm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         244;        11;Weißkohl: Pflanzen                                                                                                                                              ;       1951;      1991;in Ostdeutschland nicht im Beobachtungsprogramm                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         202;        12;Winterweizen: Auflaufen                                                                                                                                         ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
