Objekt_id;Phasen_id;Kurzbezeichnung;Jahr_Beginn;Jahr_Ende;Besonderheitenbeschreibung;Bemerkungen;eor;                                                                                                   
         101;         5;Beifuß: Blühbeginn                                                                                                                                              ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         109;         5;Forsythie: Blühbeginn                                                                                                                                           ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;Ersatzphase "Stachelbeere - Beginn der Blattentfaltung" verwenden.                                                                                              ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         109;         5;Forsythie: Blühbeginn                                                                                                                                           ;       1951;      1951;in Westdeutschland nicht flächendeckend beobachtet - Daten nur für einzelne Beobachtungsorte archiviert, in Ostdeutschland nicht beobachtet                                                                                                                                                                                                                                                                                                                                                                         ;Ersatzphase "Stachelbeere - Beginn der Blattentfaltung" verwenden.                                                                                              ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         109;         5;Forsythie: Blühbeginn                                                                                                                                           ;       1952;      1991;in Ostdeutschland nicht im Beobachtungsprogramm                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Ersatzphase "Stachelbeere - Beginn der Blattentfaltung" verwenden.                                                                                              ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         112;         5;Hänge-Birke: Blühbeginn                                                                                                                                         ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         115;         5;Herbstzeitlose: Blühbeginn                                                                                                                                      ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         115;         5;Herbstzeitlose: Blühbeginn                                                                                                                                      ;       1991;      2013;nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         116;         5;Huflattich: Blühbeginn                                                                                                                                          ;       1986;      1986;für Ostdeutschland nur einzelne Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         116;         5;Huflattich: Blühbeginn                                                                                                                                          ;       1988;      1991;für Ostdeutschland keine Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         117;         5;Hunds-Rose: Blühbeginn                                                                                                                                          ;       1951;      1967;Phase fehlt auffällig häufig für einige Landkreise Hessens                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Original-Meldeunterlagen müssen noch überprüft werden                                                                                                           ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         129;         5;Schwarzer Holunder: Blühbeginn                                                                                                                                  ;       1986;      1986;für Ostdeutschland nur einzelne Daten archiviert                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
